iter	Passed	Remaining
455	846	1009
456	847	1007
457	848	1004
458	850	1001
459	851	999
460	852	996
461	853	994
462	855	991
463	856	989
464	857	986
465	859	984
466	860	981
467	861	979
468	862	977
469	864	974
470	865	972
471	866	969
472	867	967
473	869	964
474	870	962
475	871	959
476	873	957
477	874	954
478	875	952
479	877	950
480	878	947
481	879	945
482	880	942
483	882	940
484	883	938
485	884	935
486	886	933
487	887	930
488	888	928
489	889	926
490	891	923
491	892	921
492	894	920
493	895	917
494	897	915
495	898	913
496	899	910
497	901	908
498	902	905
499	903	903
500	904	901
501	906	898
502	907	896
503	908	894
504	910	892
505	911	889
506	912	887
507	913	885
508	915	882
509	916	880
510	917	878
511	919	875
512	920	873
513	921	871
514	923	869
515	924	867
516	925	864
517	927	862
518	928	860
519	929	858
520	930	855
521	932	853
522	933	851
523	934	849
524	936	847
525	937	844
526	938	842
527	939	840
528	941	838
529	942	835
530	943	833
531	944	831
532	946	829
533	947	826
534	948	824
535	950	822
536	952	821
537	953	818
538	954	816
539	955	814
540	957	812
541	958	809
542	959	807
543	961	805
544	962	803
545	964	801
546	965	799
547	967	798
548	968	796
549	970	793
550	971	791
551	972	789
552	974	787
553	975	785
554	976	783
555	978	781
556	979	779
557	981	777
558	982	775
559	983	773
560	985	770
561	986	768
562	987	766
563	988	764
564	990	762
565	991	760
566	992	758
567	994	756
568	995	754
569	997	752
570	998	750
571	999	747
572	1000	745
573	1002	743
574	1003	741
575	1004	739
576	1006	737
577	1007	735
578	1008	733
579	1009	731
580	1011	729
581	1012	727
582	1013	725
583	1015	723
584	1016	721
585	1017	718
586	1018	716
587	1020	714
588	1022	713
589	1023	711
590	1025	709
591	1027	707
592	1028	705
593	1029	703
594	1031	701
595	1032	699
596	1033	697
597	1034	695
598	1036	693
599	1037	691
600	1039	689
601	1040	687
602	1041	685
603	1043	683
604	1044	681
605	1045	679
606	1047	677
607	1048	676
608	1049	674
609	1051	672
610	1052	670
611	1053	668
612	1055	666
613	1056	664
614	1057	662
615	1058	660
616	1060	658
617	1061	656
618	1062	654
619	1064	652
620	1065	650
621	1066	648
622	1067	646
623	1069	644
624	1070	642
625	1071	640
626	1072	638
627	1074	636
628	1075	634
629	1076	632
630	1078	630
631	1079	628
632	1080	626
633	1081	624
634	1083	622
635	1084	620
636	1085	618
637	1087	616
638	1088	614
639	1089	612
640	1090	611
641	1092	608
642	1093	607
643	1094	605
644	1095	603
645	1097	601
646	1098	599
647	1099	597
648	1101	595
649	1102	593
650	1103	591
651	1104	589
652	1106	587
653	1107	585
654	1108	583
655	1110	582
656	1111	580
657	1112	578
658	1114	576
659	1115	574
660	1116	572
661	1117	570
662	1119	568
663	1120	566
664	1121	565
665	1123	563
666	1124	561
667	1125	559
668	1126	557
669	1128	555
670	1129	553
671	1130	552
672	1132	550
673	1133	548
674	1134	546
675	1136	544
676	1137	542
677	1138	540
678	1140	538
679	1141	537
680	1142	535
681	1144	533
682	1145	531
683	1146	529
684	1148	528
685	1149	526
686	1151	524
687	1152	522
688	1153	520
689	1155	518
690	1156	517
691	1157	515
692	1159	513
693	1160	511
694	1161	509
695	1163	507
696	1164	506
697	1165	504
698	1166	502
699	1168	500
700	1169	498
701	1170	496
702	1171	495
703	1173	493
704	1174	491
705	1175	489
706	1176	487
707	1178	485
708	1179	484
709	1180	482
710	1182	480
711	1183	478
712	1184	476
713	1185	474
714	1187	473
715	1188	471
716	1189	469
717	1191	467
718	1192	466
719	1193	464
720	1195	462
721	1196	460
722	1197	458
723	1198	457
724	1200	455
725	1201	453
726	1202	451
727	1204	449
728	1205	448
729	1206	446
730	1207	444
731	1209	442
732	1210	440
733	1211	439
734	1213	437
735	1214	435
736	1215	433
737	1216	431
738	1218	430
739	1219	428
740	1220	426
741	1222	424
742	1223	423
743	1224	421
744	1225	419
745	1227	417
746	1228	416
747	1229	414
748	1231	412
749	1232	410
750	1233	409
751	1234	407
752	1236	405
753	1237	403
754	1238	401
755	1240	400
756	1241	398
757	1242	396
758	1243	394
759	1245	393
760	1247	391
761	1248	390
762	1250	388
763	1251	386
764	1252	384
765	1253	383
766	1255	381
767	1256	379
768	1257	377
769	1258	376
770	1260	374
771	1261	372
772	1262	370
773	1264	369
774	1265	367
775	1266	365
776	1267	363
777	1269	362
778	1270	360
779	1271	358
780	1272	356
781	1274	355
782	1275	353
783	1276	351
784	1278	350
785	1279	348
786	1280	346
787	1281	344
788	1283	343
789	1284	341
790	1285	339
791	1287	338
792	1288	336
793	1289	334
794	1291	332
795	1292	331
796	1293	329
797	1295	327
798	1296	326
799	1297	324
800	1298	322
801	1300	321
802	1301	319
803	1302	317
804	1304	315
805	1305	314
806	1306	312
807	1308	310
808	1309	309
809	1310	307
810	1311	305
811	1313	304
812	1314	302
813	1315	300
814	1317	298
815	1318	297
816	1319	295
817	1320	293
818	1322	292
819	1323	290
820	1324	288
821	1325	287
822	1327	285
823	1328	283
824	1329	282
825	1331	280
826	1332	278
827	1333	277
828	1334	275
829	1336	273
830	1337	272
831	1339	270
832	1340	268
833	1341	267
834	1342	265
835	1344	263
836	1345	262
837	1346	260
838	1348	258
839	1349	257
840	1350	255
841	1352	253
842	1353	252
843	1354	250
844	1355	248
845	1357	247
846	1358	245
847	1359	243
848	1361	242
849	1362	240
850	1363	238
851	1365	237
852	1366	235
853	1367	233
854	1368	232
855	1370	230
856	1371	228
857	1372	227
858	1374	225
859	1376	224
860	1377	222
861	1379	220
862	1381	219
863	1382	217
864	1383	215
865	1385	214
866	1386	212
867	1387	211
868	1388	209
869	1390	207
870	1391	206
871	1392	204
872	1394	202
873	1395	201
874	1396	199
875	1398	197
876	1399	196
877	1400	194
878	1402	192
879	1403	191
880	1404	189
881	1405	188
882	1407	186
883	1408	184
884	1409	183
885	1410	181
886	1412	179
887	1413	178
888	1414	176
889	1416	175
890	1417	173
891	1418	171
892	1420	170
893	1421	168
894	1422	166
895	1423	165
896	1425	163
897	1426	162
898	1428	160
899	1429	158
900	1430	157
901	1431	155
902	1433	153
903	1434	152
904	1435	150
905	1436	149
906	1438	147
907	1439	145
908	1440	144
909	1442	142
910	1443	141
911	1444	139
912	1446	137
913	1447	136
914	1448	134
915	1450	132
916	1451	131
917	1452	129
918	1453	128
919	1455	126
920	1456	124
921	1458	123
922	1459	121
923	1460	120
924	1461	118
925	1463	116
926	1464	115
927	1465	113
928	1467	112
929	1468	110
930	1469	108
931	1471	107
932	1472	105
933	1473	104
934	1474	102
935	1476	100
936	1477	99
937	1478	97
938	1479	96
939	1481	94
940	1482	92
941	1483	91
942	1484	89
943	1486	88
944	1487	86
945	1488	84
946	1490	83
947	1491	81
948	1492	80
949	1493	78
950	1495	77
951	1496	75
952	1497	73
953	1499	72
954	1500	70
955	1502	69
956	1503	67
957	1504	65
958	1506	64
959	1507	62
960	1508	61
961	1509	59
962	1511	58
963	1512	56
964	1513	54
965	1515	53
966	1516	51
967	1517	50
968	1519	48
969	1520	47
970	1521	45
971	1522	43
972	1523	42
973	1525	40
974	1526	39
975	1527	37
976	1529	36
977	1530	34
978	1531	32
979	1533	31
980	1534	29
981	1535	28
982	1537	26
983	1538	25
984	1539	23
985	1540	21
986	1542	20
987	1543	18
988	1544	17
989	1546	15
990	1547	14
991	1548	12
992	1549	10
993	1551	9
994	1552	7
995	1553	6
996	1554	4
997	1556	3
998	1557	1
999	1558	0
